id,mean_AU01_r,mean_AU02_r,mean_AU04_r,mean_AU05_r,mean_AU06_r,mean_AU07_r,mean_AU09_r,mean_AU10_r,mean_AU12_r,mean_AU14_r,mean_AU15_r,mean_AU17_r,mean_AU20_r,mean_AU23_r,mean_AU25_r,mean_AU26_r,mean_AU45_r,mean_AU01_c,mean_AU02_c,mean_AU04_c,mean_AU05_c,mean_AU06_c,mean_AU07_c,mean_AU09_c,mean_AU10_c,mean_AU12_c,mean_AU14_c,mean_AU15_c,mean_AU17_c,mean_AU20_c,mean_AU23_c,mean_AU25_c,mean_AU26_c,mean_AU45_c,mean_gaze_0_x,mean_gaze_0_y,mean_gaze_0_z,mean_gaze_1_x,mean_gaze_1_y,mean_gaze_1_z,mean_gaze_angle_x,mean_gaze_angle_y,std_AU01_r,std_AU02_r,std_AU04_r,std_AU05_r,std_AU06_r,std_AU07_r,std_AU09_r,std_AU10_r,std_AU12_r,std_AU14_r,std_AU15_r,std_AU17_r,std_AU20_r,std_AU23_r,std_AU25_r,std_AU26_r,std_AU45_r,std_AU01_c,std_AU02_c,std_AU04_c,std_AU05_c,std_AU06_c,std_AU07_c,std_AU09_c,std_AU10_c,std_AU12_c,std_AU14_c,std_AU15_c,std_AU17_c,std_AU20_c,std_AU23_c,std_AU25_c,std_AU26_c,std_AU45_c,std_gaze_0_x,std_gaze_0_y,std_gaze_0_z,std_gaze_1_x,std_gaze_1_y,std_gaze_1_z,std_gaze_angle_x,std_gaze_angle_y
2ea4_Breathing,0.053544444,0.030377778,0.975433333,0.034077778,0.154788889,0,0.017177778,0.314188889,0.000511111,0.011533333,0.068966667,0.296877778,0.069766667,0.090588889,0.239966667,0.181866667,0.097688889,0,0,0,1,0,0,0,0.631111111,0,0.107777778,0,0.105555556,0.01,0.025555556,0.064444444,0,0.016666667,0.12346681,0.052693518,-0.989831941,-0.106080617,0.031240852,-0.992871016,0.008732222,0.042293333,0.076830956,0.054110992,0.120497352,0.106965083,0.082996307,0,0.029666885,0.171920086,0.005636849,0.039041406,0.09172151,0.238581101,0.117878215,0.159920684,0.215795857,0.164014107,0.151803371,0,0,0,0,0,0,0,0.482772039,0,0.310271967,0,0.307438776,0.099554067,0.157892905,0.245679513,0,0.128090277,0.036565507,0.029347571,0.004029241,0.031988482,0.030633808,0.004311763,0.030840478,0.029466796
2ea4_Counting1,0.121233333,0.0551,0.877633333,0.097666667,0.7763,0.0005,0.025833333,0.261833333,0.219033333,0.103733333,0.238,0.4843,0.0899,0.097933333,0.691633333,0.3569,0.232833333,0.03,0.043333333,0,0.996666667,0.66,0,0,0.923333333,0.35,0.46,0.036666667,0.323333333,0.03,0.18,0.28,0.053333333,0.053333333,0.078723107,-0.01710285,-0.992180563,-0.088572697,-0.021745553,-0.99063389,-0.004856667,-0.019876667,0.252400142,0.166551658,0.125439957,0.267096156,0.234962411,0.00357668,0.040095691,0.212782896,0.210765603,0.133684832,0.378673093,0.416139902,0.14348152,0.137375284,0.534742459,0.314003265,0.283363055,0.170872246,0.203946569,0,0.057735027,0.474500265,0,0,0.266506362,0.477766543,0.499230177,0.188256094,0.468530281,0.170872246,0.384829372,0.449749094,0.225072762,0.225072762,0.033508901,0.088476229,0.012939261,0.044909532,0.090585282,0.011768714,0.035252023,0.090542742
2ea4_Counting2,0.239933333,0.121933333,0.699066667,0.0436,0.361466667,0.0006,0.040133333,0.466533333,0.054866667,0.1807,0.240766667,0.472266667,0.0745,0.1116,0.5421,0.336466667,0.570366667,0.113333333,0.173333333,0,0.933333333,0.073333333,0,0,0.87,0.013333333,0.393333333,0.053333333,0.38,0.013333333,0.25,0.26,0.073333333,0.423333333,0.109841923,-0.064528077,-0.976888783,-0.026900357,-0.089199367,-0.980223197,0.04225,-0.07845,0.414505381,0.307282178,0.207092782,0.089747174,0.247456321,0.005693392,0.070743653,0.223111133,0.090044483,0.17562838,0.385744833,0.451171862,0.111427722,0.187768376,0.433288649,0.305062386,0.762198149,0.317529482,0.379167662,0,0.249860608,0.261118425,0,0,0.336865345,0.114889312,0.489305927,0.225072762,0.486197449,0.114889312,0.433736199,0.439367134,0.261118425,0.494912805,0.091534452,0.144721398,0.015324263,0.076520059,0.156367885,0.01667494,0.082406129,0.152070023
2ea4_Counting3,0.2434,0.175633333,0.9215,0.052466667,0.513733333,0.004333333,0.044033333,0.220966667,0.029333333,0.068033333,0.167933333,0.3634,0.103266667,0.101033333,0.394466667,0.3793,0.253866667,0.11,0.14,0,1,0.17,0,0,0.846666667,0.013333333,0.026666667,0.03,0.16,0.056666667,0,0.076666667,0.026666667,0.053333333,0.097452773,0.001866357,-0.992706937,-0.105794983,0.002354343,-0.991087977,-0.004183333,0.00201,0.583244678,0.470203043,0.186583658,0.137519529,0.161659648,0.025311878,0.07747736,0.166917957,0.066595838,0.1319742,0.251895282,0.327924108,0.138679856,0.131535563,0.247229564,0.246661678,0.282788992,0.313412547,0.347566793,0,0,0.376260424,0,0,0.360910529,0.114889312,0.161376465,0.170872246,0.367218597,0.231590882,0,0.266506362,0.161376465,0.225072762,0.038788395,0.058931366,0.008471794,0.048979132,0.06406511,0.008067774,0.040382656,0.061490325
2ea4_Math,0.093866667,0.044366667,0.977233333,0.030966667,0.6656,0.0002,0.030333333,0.475333333,0.068633333,0.1168,0.1432,0.3583,0.080133333,0.103133333,0.445033333,0.347666667,0.1914,0.013333333,0.003333333,0,0.996666667,0.573333333,0,0,0.996666667,0.066666667,0.246666667,0,0.273333333,0.01,0.143333333,0.136666667,0.02,0.09,0.10712398,-0.00154779,-0.993123433,-0.061877263,0.00601747,-0.996826453,0.02272,0.00224,0.163653058,0.085210337,0.334413097,0.068148462,0.181225778,0.001402339,0.058907747,0.19933893,0.11832357,0.146462501,0.171119939,0.307701768,0.111198919,0.149812086,0.333969236,0.259599426,0.221203851,0.114889312,0.057735027,0,0.057735027,0.495419375,0,0,0.057735027,0.249860608,0.43179127,0,0.446415177,0.099664991,0.35099794,0.344069035,0.140233918,0.286659926,0.030214107,0.036246863,0.002940617,0.036638544,0.033593856,0.003047837,0.028685381,0.03383398
2ea4_Reading,0.123466667,0.063366667,0.739866667,0.042866667,0.5782,0.003666667,0.030166667,0.4159,0.014133333,0.1175,0.1442,0.425833333,0.118933333,0.1037,0.519133333,0.368466667,0.219633333,0.016666667,0.033333333,0,1,0.546666667,0,0,0.983333333,0,0.14,0.013333333,0.293333333,0.116666667,0.066666667,0.2,0.016666667,0.106666667,0.10876495,-0.0030704,-0.991855527,-0.102923413,-0.01271234,-0.992157393,0.00292,-0.00801,0.227154822,0.184428065,0.135754976,0.090360383,0.172217759,0.016353808,0.043596342,0.208142421,0.039269018,0.153283188,0.1820646,0.331544938,0.170272835,0.13345415,0.386956112,0.28164409,0.232754767,0.128232996,0.179805419,0,0,0.498649235,0,0,0.128232996,0,0.347566793,0.114889312,0.456050614,0.321559051,0.249860608,0.400668338,0.128232996,0.309204756,0.041526134,0.051297503,0.006498343,0.046234305,0.051869031,0.007562457,0.038371275,0.051265033
2ea4_Relax,0.06364,0.03712,0.91156,0.024106667,0.278453333,0.0002,0.022306667,0.34956,0.000226667,0.144866667,0.07748,0.24672,0.048826667,0.08548,0.133933333,0.168253333,0.1704,0,0.009333333,0,0.993333333,0.002666667,0,0,0.837333333,0,0.38,0,0.030666667,0,0.014666667,0.029333333,0,0.046666667,0.095249225,0.023914819,-0.993913029,-0.023796231,-0.003458543,-0.997962893,0.035825333,0.010269333,0.091945032,0.078091207,0.108861537,0.050304168,0.122555161,0.003158053,0.041495885,0.14982747,0.002086727,0.151188159,0.102645495,0.187592901,0.075948541,0.154584491,0.121693089,0.165557729,0.266810464,0,0.096221448,0,0.081431343,0.051605294,0,0,0.369307559,0,0.485710359,0,0.172527998,0,0.120294846,0.16885172,0,0.21106465,0.039912082,0.029763186,0.004132655,0.044549592,0.038803223,0.002470302,0.034696435,0.032856926
2ea4_Speaking,0.1065,0.0643,0.779033333,0.052233333,0.6044,0.010166667,0.026566667,0.2945,0.0755,0.075066667,0.180333333,0.326333333,0.094433333,0.0945,0.581333333,0.399,0.2302,0.006666667,0.073333333,0,0.993333333,0.413333333,0,0,0.963333333,0.036666667,0.116666667,0.016666667,0.33,0.023333333,0.036666667,0.263333333,0.086666667,0.22,0.127110027,-0.002965047,-0.987963413,-0.079685077,-0.013329003,-0.991391023,0.02419,-0.008443333,0.157461308,0.149989442,0.133924799,0.121131837,0.268747821,0.036018003,0.040231922,0.223198286,0.392346619,0.206921201,0.250418824,0.269555355,0.150801689,0.150957092,0.462687607,0.317332633,0.269952232,0.081513006,0.261118425,0,0.081513006,0.493254385,0,0,0.188256094,0.188256094,0.321559051,0.128232996,0.47099837,0.151212122,0.188256094,0.441177607,0.281816057,0.414938445,0.05008967,0.071550141,0.01265263,0.072998535,0.072582613,0.007410771,0.057881096,0.072553291
2ea4_Stroop,0.0858,0.043366667,0.8665,0.032066667,0.474366667,0,0.026466667,0.226166667,0.045266667,0.044666667,0.095666667,0.3236,0.076,0.072666667,0.335333333,0.297033333,0.250633333,0.003333333,0.003333333,0,1,0.003333333,0,0,0.946666667,0.05,0.243333333,0.003333333,0.15,0,0.01,0.026666667,0.003333333,0.03,0.0679237,-0.00029401,-0.996970223,-0.130319307,-0.018058813,-0.99046454,-0.031376667,-0.009216667,0.13794609,0.083367656,0.090768274,0.068722667,0.105370499,0,0.040252326,0.14177437,0.086741045,0.068701932,0.123639982,0.210956668,0.100739739,0.106753031,0.235164972,0.210499165,0.379742826,0.057735027,0.057735027,0,0,0.057735027,0,0,0.225072762,0.218309099,0.429811605,0.057735027,0.357668032,0,0.099664991,0.161376465,0.057735027,0.170872246,0.032217181,0.020008832,0.001780778,0.030006452,0.027486628,0.004523032,0.028949641,0.022533729
2ea4_Video1,0.067114943,0.038735632,0.443367816,0.033333333,0.355057471,0,0.036413793,0.263057471,0.084390805,0.189908046,0.074586207,0.326701149,0.065850575,0.120114943,0.143908046,0.172034483,0.184482759,0,0.062068966,0,0.914942529,0.009195402,0,0,0.62183908,0.008045977,0.626436782,0,0.164367816,0,0.336781609,0,0.002298851,0.089655172,0.102673555,0.009482254,-0.991448156,-0.089159524,0.001993185,-0.993807363,0.006850575,0.005794253,0.098718244,0.088442665,0.138522668,0.087689517,0.143761514,0,0.069567222,0.290670561,0.136579231,0.230768448,0.102419527,0.237974847,0.106653891,0.201129116,0.138329307,0.166952992,0.291059169,0,0.241419555,0,0.279127663,0.09550566,0,0,0.48520701,0.08938917,0.484027924,0,0.370822186,0,0.472881367,0,0.047918735,0.285851436,0.060610232,0.051902282,0.006221925,0.04964398,0.04373273,0.004640017,0.053294658,0.046998105
